OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2019-039K","COSMOS 2535 DEB","44633","CIS","97.67","97.87","688","607","","0","",""
"2019-039J","COSMOS 2535 DEB","44632","CIS","96.77","97.85","615","593","","0","",""
"2019-039H","COSMOS 2535 DEB","44631","CIS","96.76","97.85","626","581","","0","",""
"2019-039G","COSMOS 2535 DEB","44630","CIS","96.39","97.86","597","574","","0","",""
"2019-068B","PEGASUS R/B","44629","US","96.49","27.00","602","579","","0","2019-10-11",""
"2019-068A","ICON","44628","US","96.54","26.99","606","580","","0","2019-10-11",""
"2019-067D","BREEZE-M DEB (TANK)","44627","CIS","342.88","50.39","19335","364","","0","2019-10-09",""
"2019-067B","MEV-1","44625","US","1637.99","9.89","64956","14346","","0","2019-10-09",""
"2019-067A","EUTELSAT 5 WEST B","44624","EUTE","2080.80","3.36","64848","30376","","0","2019-10-09",""
"2019-066B","CZ-4C R/B","44623","PRC","95.10","97.76","612","435","","0","2019-10-04",""
"2019-066A","GAOFEN 10R","44622","PRC","97.26","97.78","628","627","","0","2019-10-04",""
"2019-039F","VOLGA DEB","44621","CIS","97.02","97.90","623","609","SMALL","0","2019-07-10",""
"2018-084R","H-2A DEB","44620","JPN","95.73","98.89","592","516","SMALL","0","2018-10-29",""
"2018-048F","CZ-2D DEB","44619","PRC","97.29","98.15","643","615","SMALL","0","2018-06-02",""
"2018-034K","CZ-4C DEB","44618","PRC","107.31","63.47","1135","1069","SMALL","0","2018-04-10",""
"2018-034J","CZ-4C DEB","44617","PRC","107.39","63.41","1134","1078","SMALL","0","2018-04-10",""
"2018-031K","CZ-4C DEB","44616","PRC","97.43","97.99","640","632","SMALL","0","2018-03-31",""
"2018-015L","CZ-2D DEB","44615","PRC","93.74","97.52","489","426","SMALL","0","2018-02-02",""
"2017-072E","CZ-4C DEB","44614","PRC","104.47","98.71","1142","798","SMALL","0","2017-11-14",""
"2017-072D","CZ-4C DEB","44613","PRC","104.52","98.53","1145","799","SMALL","0","2017-11-14",""
"2017-060E","CZ-2D DEB","44612","PRC","97.47","97.82","648","627","SMALL","0","2017-10-09",""
"2017-060D","CZ-2D DEB","44611","PRC","97.63","98.11","675","615","SMALL","0","2017-10-09",""
"2017-060C","CZ-2D DEB","44610","PRC","97.23","98.10","647","605","SMALL","0","2017-10-09",""
"2017-060B","CZ-2D DEB","44609","PRC","97.26","97.82","661","595","SMALL","0","2017-10-09",""
"2017-042CB","FREGAT DEB","44608","CIS","95.55","97.58","599","491","SMALL","0","2017-07-14",""
"2016-068G","CZ-2D DEB","44607","PRC","103.33","98.55","1070","762","SMALL","0","2016-11-11",""
"2016-068F","CZ-2D DEB","44606","PRC","103.62","98.44","1099","760","SMALL","0","2016-11-11",""
"2016-068E","CZ-2D DEB","44605","PRC","103.87","98.44","1114","769","SMALL","0","2016-11-11",""
"2016-068D","CZ-2D DEB","44604","PRC","96.79","98.24","757","452","SMALL","0","2016-11-11",""
"2016-068C","CZ-2D DEB","44603","PRC","103.49","98.65","1085","762","SMALL","0","2016-11-11",""
"2016-004C","ARIANE 5 DEB","44602","FR","241.01","1.37","12713","188","MEDIUM","0","2016-01-27",""
"2015-057E","CZ-2D DEB","44601","PRC","97.08","98.02","710","528","SMALL","0","2015-10-07",""
"2015-047B","GAOFEN 9 DEB","44600","PRC","99.93","97.95","898","612","SMALL","0","2015-09-14",""
"2014-049D","CZ-4C DEB","44599","PRC","96.64","97.84","670","526","SMALL","0","2014-08-19",""
"2013-065H","CZ-4C DEB","44598","PRC","107.18","100.54","1201","992","SMALL","0","2013-11-20",""
"2012-039H","TET-1 DEB","44597","CIS","92.36","97.61","392","388","SMALL","0","2012-07-22",""
"2011-021D","BREEZE-M DEB","44596","CIS","745.56","13.51","34316","7400","SMALL","0","2011-05-20",""
"2009-066J","H-2A DEB","44595","JPN","94.75","97.28","523","490","SMALL","0","1999-11-28",""
"2008-067Y","SL-12 DEB","44594","CIS","331.03","64.06","18647","300","MEDIUM","0","2008-12-25",""
"2008-053M","CZ-4B DEB","44593","PRC","96.16","97.71","587","562","SMALL","0","2008-10-25",""
"2008-026G","CZ-4B DEB","44592","PRC","99.88","98.82","802","703","SMALL","0","2008-05-27",""
"2007-011D","CZ-3A DEB","44591","PRC","372.21","55.02","20752","772","SMALL","0","2007-04-13",""
"2007-011C","CZ-3A DEB","44590","PRC","231.26","52.18","11367","838","MEDIUM","0","2007-04-13",""
"1999-057TB","CZ-4B DEB","44589","PRC","97.80","98.83","716","591","SMALL","0","1999-10-14",""
"1999-027E","SL-12 DEB","44588","CIS","986.54","7.85","36886","16012","SMALL","0","1999-05-20",""
"1998-017H","SPOT 4 DEB","44587","FR","98.95","98.31","717","700","SMALL","0","1998-03-24",""
"1998-017G","SPOT 4 DEB","44586","FR","98.89","98.34","719","692","SMALL","0","1998-03-24",""
"1998-017F","SPOT 4 DEB","44585","FR","97.85","98.40","666","645","SMALL","0","1998-03-24",""
"1995-015KB","DMSP 5D-2 F13 DEB","44584","US","100.98","98.74","821","789","SMALL","0","1995-03-24",""
"1995-015KA","DMSP 5D-2 F13 DEB","44583","US","95.84","98.64","605","514","SMALL","0","1995-03-24",""
"1994-082G","LUCH DEB","44582","CIS","1430.20","14.65","35739","35604","SMALL","0","1994-12-16",""
"1994-074AT","RESURS O1 DEB","44581","CIS","96.67","98.08","602","597","SMALL","0","1994-11-04",""
"1994-074AS","RESURS O1 DEB","44580","CIS","96.82","98.10","610","603","SMALL","0","1994-11-04",""
"1994-074AR","RESURS O1 DEB","44579","CIS","96.94","98.04","616","608","SMALL","0","1994-11-04",""
"1994-074AQ","RESURS O1 DEB","44578","CIS","97.05","98.03","620","615","SMALL","0","1994-11-04",""
"1994-074AP","RESURS O1 DEB","44577","CIS","96.85","98.06","610","606","MEDIUM","0","1994-11-04",""
"1993-059N","SL-16 DEB","44576","CIS","100.89","70.98","808","793","SMALL","0","1993-09-16",""
"1993-038H","SL-14 DEB","44575","CIS","114.76","82.58","1480","1408","SMALL","0","1993-06-24",""
"1992-093LW","SL-16 DEB","44574","CIS","101.15","71.13","908","718","SMALL","0","1992-12-25",""
"1992-060J","ARIANE 44LP DEB","44573","FR","651.07","6.49","36431","580","MEDIUM","0","1992-09-10",""
"1987-096G","COSMOS 1897 DEB","44572","CIS","1433.41","14.04","35819","35649","SMALL","0","1987-11-26",""
"1985-066K","SCOUT G-1 DEB","44571","US","107.56","90.13","1240","987","SMALL","0","1985-08-03",""
